"APPT. CARDS/CLASS PASSES (50 passes/PK)",076F0030,0.796,PK
"BATTERIES, 9 VOLT (4 PK)",076B0001,9.99,PK
"BATTERIES, AA (8 PK)",076B0002,7.44,PK
"BATTERIES, AAA (8 PK)",076B0003,9.84,PK
"BATTERIES, C (8 PK)",076B0004,12.64,PK
"BATTERIES, D (4 PK)",076B0005,12.48,PK
"BOOK, STENO 6""X9""",076P0005,3.72,EA
"CARDS, INDEX, 3X5",076C0003,2.23,PK
"CHALK, WHITE (12 PC PER BX)",076C0006,0.49,BX
"CLEANER, DRY ERASE SURFACE  (8oz)",076E0008,5.38,BO
CLIP BOARD LEGAL,076C0012,1.09,EA
CLIP BOARD LETTER,076C0013,0.84,EA
"CLIPS, BINDER, LARGE  (12/BX)",076C0014,2.99,BX
"CLIPS, BINDER, MEDIUM  (12/BX)",076C0015,1.09,BX
"CLIPS, BINDER, SMALL  (12/BX)",076C0016,0.49,BX
"CLIPS, PAPER",076C0017,0.208,BX
"CLIPS, PAPER JUMBO",076C0029,0.66,BX
"COPY PAPER, 8.5X11 - 30% RECYCLED (10 RM per case)",076C0020,3.2,RM
"DIVIDER, Insert Big Tab",076T0001,1.33,ST
"DIVIDER, WRITE & ERASE BIG TAB PAPER (8-Tab) ",076T0014,3.59,ST
"ENVELOPE, #10 MAILING (500/BX)",076E0001,11.29,BX
"ENVELOPE, CLASP, 10X13",076E0002,19.12,BX
"ERASER, WEDGE (36/BOX)",076E0005,7.19,BX
"ERASER,DRY ERASE SURFACES",076E0007,1.99,EA
FOLDER TWO-POCKET PORTFOLIO-BURGUNDY (25/BX),076P0019,4.29,BX
FOLDER TWO-POCKET PORTFOLIO - GREEN   (25/BX),076P0020,4.29,BX
FOLDER TWO-POCKET PORTFOLIO-YELLOW   (25/BX),076P0021,4.29,BX
"FOLDER, 2-FSTNR, LTR, MANILLA (EA = BOX OF 50)",076F0017,23.95,EA
"FOLDER, 6-SECTION, W/FSTNR, LTR, MANILA   (10/BX)",076F0018,34.48,BX
"Folder, 6 Section, Emerald Green",076F0022,40.49,BX
"Folder, 4 Section, Emerald Green",076F0021,46.79,BX
"FOLDER, HANGING, LETTER  (50/BOX)",076F0011,6.39,BX
"FOLDER, MANILA, LETTER - (EA = BX OF 100)",076F0012,6.89,EA
"FOLDER, HANGING, LEGAL  (50/BOX)",076F0009,12.03,BX
"FOLDER, MANILA, LEGAL - (100/BOX)",076F0010,12.52,BX
"LABELS, ADDRESS - 5160 (1"" x 2 5/8"")  (3000/PKG)   BX=PKG",076L0004,25.63,BX
"LABELS, File Folders - 5666 1/3 White Cut",076L0005,12.63,PK
"LABELS, File Folders - 8366 1/3 Purple Cut",076L0007,18.65,PK
"MAILER, 9X12",076M0013,15.99,BX
"MARKER, DRY ERASE, BE",076M0016,0.9575,EA
"MARKER, DRY ERASE, BK",076M0014,0.9575,EA
"MARKER, DRY ERASE, GN",076M0017,0.9575,EA
"MARKER, DRY ERASE, RD",076M0015,0.9575,EA
"MARKER, HI LITER, YELLOW",076M0005,0.4375,EA
"MARKER, PERMANENT, BLACK",076M0006,0.37,EA
"MARKER, PERMANENT, RED",076M0009,0.37,EA
"NOTE, POST IT, 1.5X2 ",076P0004,0.1,PD
"NOTE, POST IT, 3X3",076P0003,0.22,PD
"NOTE, POST IT, 3X5",076P0002,0.324166667,PD
"PAD, WRITING, 5X8 (white)",076P0007,0.401666667,EA
"PAD, WRITING, 8.5X11 (white)",076P0008,0.7525,EA
"PAD, WRITING, 8.5X14 (canary)",076P0009,1.03,EA
"PAPER, FILLER - College Ruled 3 HOLE (PK/200 Sheets) ",076P0023,3.86,PK
"PAPER, 1 SUBJECT SPIRAL NOTEBOOK",076SP0022,5.53,EA 
"PAPER, COMPOSITION NOTE BOOK",076CB001,2.68,EA
"PAPER, STENO",076P0005,0.79,PD
"PEN, BALL POINT, RETRACTABLE, BLACK",076P0015,13.64,DZ
"PEN, BALL POINT, RETRACTABLE, BLUE",076P0022,14.99,DZ
"PEN, BALL POINT, RETRACTABLE, RED",076P0014,4.69,DZ
"PENS, BLACK, PILOT B2P",076BP01,22.03,DZ
"PENS, BLUE, PILOT B2P",076BP02,15.56,DZ
"PENCIL SHARPENER, MANUAL  (wall/counter mount)",076P0016,8.24,EA
"PENCIL, #2",076P0017,0.85,DZ
PUSH PINS  (150/PK),076P0018,3.23,PK
"RUBBER BANDS, ASST",076R0001,1.09,PK
"RULER, 12""",076R0002,0.79,EA
"RULER, 18""",076R0003,5.8,EA
"SCISSORS, 8""",076S0001,1.02,EA
"SHEET PROTECTORS, LTR  (100/bx)",076S0003,5.31,BX
STAPLE REMOVER,076S0010,0.34,EA
"STAPLER, REGULAR",076S0011,5.89,EA
"STAPLES, REGULAR",076S0012,0.89,BX
TAPE DISPENSER,076T0002,1.65,EA
"TAPE, CORRECTION",076T0003,2.734,EA
"TAPE, PACKING, CLEAR",076T0007,2.921666667,RL
"TAPE, SCOTCH, 3/4X1""",076T0009,2.428,RL
"TAPE, MASKING. 1.5"" ",076MT01,5.283,RL
